text_id,source_type,model,base_prompt,sampling_strategy,few_shot,Filepath,wordtypes,wordtokens,swordtypes,swordtokens,lextypes,lextokens,slextypes,slextokens,verbtypes,verbtokens,sverbtypes,sverbtokens,adjtypes,adjtokens,advtypes,advtokens,nountypes,nountokens,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDW-50,NDW-ER50,NDW-ES50,TTR,MSTTR,CTTR,RTTR,LogTTR,Uber,LV,VV1,SVV1,CVV1,VV2,NV,AdjV,AdvV,ModV
01-a2,Candidate,Claude 4,With Description,Confidence-Based,1.0,cli_text,53,80,7,14,28,40,7,14,11,13,2,2,5,8,3,3,9,16,0.5,0.35,0.1321,0.1538,0.3077,0.3922,53,35,36.5,37.7,0.6625,0.7,4.19,5.9256,0.906,20.2543,0.7,0.8462,9.3077,2.1573,0.275,0.5625,0.125,0.075,0.2
01-a2,Candidate,Claude 4,With Description,Contrastive,1.0,cli_text,60,98,6,14,34,49,6,14,12,15,1,1,5,8,5,5,12,21,0.5,0.2857,0.1,0.0667,0.0667,0.1826,60,34,35.3,37.3,0.6122,0.68,4.2857,6.0609,0.893,18.6084,0.6939,0.8,9.6,2.1909,0.2449,0.5714,0.102,0.102,0.2041
01-a2,Candidate,Gemma 3,With Description,Confidence-Based,1.0,cli_text,49,68,7,13,22,31,7,13,8,9,1,1,6,8,2,2,6,12,0.4559,0.4194,0.1429,0.1111,0.1111,0.2357,49,36,39.0,38.9,0.7206,0.72,4.2017,5.9421,0.9223,23.5965,0.7097,0.8889,7.1111,1.8856,0.2581,0.5,0.1935,0.0645,0.2581
01-a2,Candidate,Gemma 3,With Description,Contrastive,2.0,cli_text,44,67,4,5,19,28,4,5,7,9,1,1,4,5,0,0,8,14,0.4179,0.1786,0.0909,0.1111,0.1111,0.2357,44,32,36.3,33.3,0.6567,0.64,3.801,5.3755,0.9,18.2593,0.6786,0.7778,5.4444,1.6499,0.25,0.5714,0.1429,0.0,0.1429
01-a2,Candidate,Opus 3,With Description,Contrastive,1.0,cli_text,67,97,8,14,38,46,8,14,11,11,1,1,7,7,4,4,16,24,0.4742,0.3043,0.1194,0.0909,0.0909,0.2132,67,37,39.7,41.1,0.6907,0.74,4.8103,6.8028,0.9191,24.5634,0.8261,1.0,11.0,2.3452,0.2391,0.6667,0.1522,0.087,0.2391
01-a2,Candidate,Opus 1,With Description,Confidence-Based,2.0,cli_text,56,74,6,11,29,35,6,11,10,10,0,0,6,7,3,3,10,15,0.473,0.3143,0.1071,0.0,0.0,0.0,56,37,39.5,40.7,0.7568,0.74,4.6032,6.5099,0.9352,28.8658,0.8286,1.0,10.0,2.2361,0.2857,0.6667,0.1714,0.0857,0.2571
01-a2,Candidate,Opus 3,With Description,Confidence-Based,2.0,cli_text,61,85,5,9,30,38,5,9,9,10,0,0,5,7,5,5,12,16,0.4471,0.2368,0.082,0.0,0.0,0.0,61,38,41.6,40.7,0.7176,0.76,4.6785,6.6164,0.9253,25.8358,0.7895,0.9,8.1,2.0125,0.2368,0.75,0.1316,0.1316,0.2632
01-b1,Candidate,GPT-4o,With Description,Random,2.0,cli_text,57,75,10,14,28,33,10,14,10,10,4,4,6,7,1,1,11,15,0.44,0.4242,0.1754,0.4,1.6,0.8944,57,40,41.7,40.7,0.76,0.8,4.654,6.5818,0.9364,29.4988,0.8485,1.0,10.0,2.2361,0.303,0.7333,0.1818,0.0303,0.2121
01-b1,Candidate,GPT-4o,With Description,N/A,0.0,cli_text,53,75,8,14,26,35,8,14,9,9,3,3,4,6,4,4,10,16,0.4667,0.4,0.1509,0.3333,1.0,0.7071,53,36,39.2,39.5,0.7067,0.72,4.3274,6.1199,0.9196,23.3169,0.7429,1.0,9.0,2.1213,0.2571,0.625,0.1143,0.1143,0.2286
01-b1,Candidate,GPT-4o,Target Only,N/A,0.0,cli_text,61,86,9,14,33,42,9,14,11,12,2,2,6,8,4,5,12,17,0.4884,0.3333,0.1475,0.1667,0.3333,0.4082,61,37,40.1,39.9,0.7093,0.74,4.6512,6.5778,0.9229,25.0876,0.7857,0.9167,10.0833,2.2454,0.2619,0.7059,0.1429,0.0952,0.2381
01-b1,Candidate,Opus 1,Target Only,N/A,0.0,cli_text,55,69,9,13,28,32,9,13,10,10,2,2,7,7,2,2,9,13,0.4638,0.4062,0.1636,0.2,0.4,0.4472,55,41,41.5,40.0,0.7971,0.82,4.6819,6.6212,0.9464,34.3333,0.875,1.0,10.0,2.2361,0.3125,0.6923,0.2188,0.0625,0.2812
01-b1,Candidate,Opus 1,With Description,N/A,0.0,cli_text,57,76,10,16,30,37,10,16,11,11,2,2,5,5,3,3,12,18,0.4868,0.4324,0.1754,0.1818,0.3636,0.4264,57,37,39.2,39.0,0.75,0.74,4.6233,6.5383,0.9336,28.3136,0.8108,1.0,11.0,2.3452,0.2973,0.6667,0.1351,0.0811,0.2162
01-b1,Candidate,Opus 3,With Description,N/A,0.0,cli_text,60,75,9,13,31,35,8,12,12,12,2,2,6,6,2,2,11,15,0.4667,0.3429,0.15,0.1667,0.3333,0.4082,60,41,42.2,42.3,0.8,0.82,4.899,6.9282,0.9483,36.2796,0.8857,1.0,12.0,2.4495,0.3429,0.7333,0.1714,0.0571,0.2286
01-b1,Candidate,Opus 3,Target Only,N/A,0.0,cli_text,55,73,7,13,25,33,7,13,9,9,2,2,4,5,3,3,10,16,0.4521,0.3939,0.1273,0.2222,0.4444,0.4714,55,40,40.5,40.6,0.7534,0.8,4.5518,6.4373,0.934,28.2366,0.7576,1.0,9.0,2.1213,0.2727,0.625,0.1212,0.0909,0.2121
01-b1,Candidate,Opus 1,With Description,Random,2.0,cli_text,60,74,8,12,30,34,8,12,11,11,2,2,7,7,3,3,9,13,0.4595,0.3529,0.1333,0.1818,0.3636,0.4264,60,43,43.6,43.3,0.8108,0.86,4.932,6.9749,0.9513,38.362,0.8824,1.0,11.0,2.3452,0.3235,0.6923,0.2059,0.0882,0.2941
01-b1,Candidate,Opus 3,With Description,Random,2.0,cli_text,56,75,8,13,27,33,8,13,8,8,2,2,6,7,3,3,10,15,0.44,0.3939,0.1429,0.25,0.5,0.5,56,41,40.6,40.8,0.7467,0.82,4.5724,6.4663,0.9323,27.7116,0.8182,1.0,8.0,2.0,0.2424,0.6667,0.1818,0.0909,0.2727
01-b1,Candidate,GPT-4o,With Description,Random,1.0,cli_text,57,69,8,12,27,32,8,12,8,9,2,2,6,6,3,3,10,14,0.4638,0.375,0.1404,0.2222,0.4444,0.4714,57,41,42.6,42.3,0.8261,0.82,4.8522,6.862,0.9549,40.752,0.8438,0.8889,7.1111,1.8856,0.25,0.7143,0.1875,0.0938,0.2812
01-b1,Candidate,Opus 1,With Description,Random,1.0,cli_text,51,64,8,13,25,31,8,13,9,10,3,3,4,4,3,3,9,14,0.4844,0.4194,0.1569,0.3,0.9,0.6708,51,41,41.7,41.5,0.7969,0.82,4.5078,6.375,0.9454,33.0828,0.8065,0.9,8.1,2.0125,0.2903,0.6429,0.129,0.0968,0.2258
01-b1,Candidate,Opus 3,With Description,Random,1.0,cli_text,53,70,8,13,27,33,8,13,8,9,2,2,6,6,3,3,10,15,0.4714,0.3939,0.1509,0.2222,0.4444,0.4714,53,40,40.0,40.8,0.7571,0.8,4.4793,6.3347,0.9345,28.1768,0.8182,0.8889,7.1111,1.8856,0.2424,0.6667,0.1818,0.0909,0.2727
01-b1,Candidate,Opus 1,With Description,Confidence-Based,1.0,cli_text,54,70,9,14,28,34,9,14,10,11,2,2,6,6,3,3,9,14,0.4857,0.4118,0.1667,0.1818,0.3636,0.4264,54,38,40.1,40.1,0.7714,0.76,4.5638,6.4542,0.9389,30.2064,0.8235,0.9091,9.0909,2.132,0.2941,0.6429,0.1765,0.0882,0.2647
